0.41253     0.00475
0.74355     0.00570
1.02727     0.00681
1.31100     0.00774
1.54744     0.00873
1.78388     0.00969
2.06761     0.01089
2.35134     0.01209
2.57201     0.01306
2.75328     0.01394
3.01337     0.01503
3.24981     0.01618
3.48625     0.01729
3.76998     0.01851
4.05370     0.01977
4.33743     0.02091
4.52658     0.02193
4.81031     0.02303
5.09404     0.02429
5.37777     0.02548
5.61421     0.02655
5.85065     0.02769
6.11546     0.02881
6.41810     0.03023
6.60726     0.03113
6.79641     0.03218
6.98556     0.03317
7.17471     0.03419
7.43952     0.03557
7.64759     0.03670
7.83674     0.03774
8.12047     0.03904
8.26233     0.03991
8.49877     0.04095
8.78250     0.04210
9.06623     0.04322
9.34996     0.04407
9.68097     0.04492
10.15385     0.04582
10.72131     0.04662
11.28877     0.04725
11.85622     0.04784
12.42368     0.04834
12.99113     0.04857
13.55859     0.04858
14.12605     0.04858
14.69350     0.04852
15.26096     0.04850
15.82841     0.04845
16.39587     0.04822
16.96332     0.04757
17.43620     0.04671
17.76722     0.04592
18.05095     0.04519
18.33468     0.04434
18.61840     0.04354
18.90213     0.04271
19.23315     0.04175
19.56416     0.04086
19.84789     0.04004
20.13162     0.03921
20.41535     0.03845
20.69908     0.03763
20.98280     0.03682
21.31382     0.03582
21.64483     0.03483
21.92856     0.03393
22.21229     0.03308
22.49602     0.03205
22.87432     0.03089
23.15805     0.02997
23.44178     0.02904
23.72551     0.02814
24.00923     0.02719
24.29296     0.02627
24.57669     0.02534
24.86042     0.02452
25.14415     0.02362
25.40423     0.02267
25.71160     0.02179
25.99533     0.02081
26.27906     0.01997
26.56279     0.01907
26.84651     0.01819
27.13024     0.01734
27.41397     0.01651
27.74498     0.01555
28.12329     0.01460
28.50159     0.01373
28.87990     0.01294
29.25820     0.01210
29.68379     0.01127
30.15667     0.01033
30.62955     0.00944
31.10243     0.00857
31.57531     0.00775
32.09548     0.00688
32.66294     0.00610
33.23039     0.00531
33.79785     0.00460
34.36530     0.00393
34.93276     0.00338
35.50021     0.00285
36.06767     0.00241
36.63513     0.00204
37.20258     0.00169
37.77004     0.00145
38.33749     0.00114
38.90495     0.00096
39.47241     0.00073
40.03986     0.00062
40.60732     0.00054
41.17477     0.00050
41.74223     0.00039
42.30968     0.00032
42.87714     0.00032
43.44460     0.00032
43.91748     0.00032
