rank,angle_axis0,angle_axis1,angle_axis2,eigenval0,eigenval1,eigenval2,tm_resids
1,24.150448603833333,79.20750279803472,68.66822183426254,20340.538176783382,209122.19021560217,212508.98123307753,"[622, 623, 624, 625, 626, 627, 628, 629, 630, 631, 632, 633, 634, 635, 636, 637, 638, 639, 640, 641, 642, 643]"
2,23.288612346860035,85.5464844714325,67.19086179407519,20338.532127957853,209128.35505881463,212512.46515089629,"[622, 623, 624, 625, 626, 627, 628, 629, 630, 631, 632, 633, 634, 635, 636, 637, 638, 639, 640, 641, 642, 643]"
3,32.80232207989427,77.65676737851373,60.14655350118731,20340.14096032493,209129.85869615976,212514.59819139977,"[622, 623, 624, 625, 626, 627, 628, 629, 630, 631, 632, 633, 634, 635, 636, 637, 638, 639, 640, 641, 642, 643]"
