rank,angle_axis0,angle_axis1,angle_axis2,eigenval0,eigenval1,eigenval2,tm_resids
1,3.2182069170544176,87.16164449414296,88.48447022119537,25627.532907021432,206795.8845034489,212041.1425049141,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]"
2,11.470056499413166,83.86702297792992,80.34478458732045,25626.00463228154,206798.2074102739,212043.21892971764,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]"
3,14.848362385307158,89.47893030177265,75.16120559601652,25625.417969636597,206795.10247738153,212040.63690113818,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]"
