rank,angle_axis0,angle_axis1,angle_axis2,eigenval0,eigenval1,eigenval2,tm_resids
1,83.35220966958677,78.48329052324401,13.343493854532888,1654305.3474468505,2995167.0562471403,3840627.876745873,"[405, 406, 407, 408, 409, 410, 420, 421, 422, 423, 424, 436, 437, 438, 439, 440, 441, 442, 448, 449, 450, 451, 452, 453, 466, 467, 468, 469, 470, 471, 491, 492, 493, 494, 495, 496, 497, 507, 508, 509, 510, 511, 512, 513, 514, 550, 551, 552, 553, 554, 555, 556, 573, 574, 575, 576, 577, 578, 579, 580, 581, 582, 589, 590, 591, 592, 593, 594, 595, 608, 609, 610, 611, 612, 613, 614, 615, 616, 665, 666, 667, 668, 669, 670, 671, 672, 673, 674, 688, 689, 690, 691, 692, 693, 694, 695, 696, 729, 730, 731, 732, 733, 734, 735, 736, 744, 745, 746, 747, 748, 749, 750, 751, 762, 763, 764, 765, 766, 767]"
2,86.37375990386589,33.523688882652905,56.725678071420965,1654308.613407116,2995157.7205735343,3840618.01968939,"[405, 406, 407, 408, 409, 410, 420, 421, 422, 423, 424, 436, 437, 438, 439, 440, 441, 442, 448, 449, 450, 451, 452, 453, 466, 467, 468, 469, 470, 471, 491, 492, 493, 494, 495, 496, 497, 507, 508, 509, 510, 511, 512, 513, 514, 550, 551, 552, 553, 554, 555, 556, 573, 574, 575, 576, 577, 578, 579, 580, 581, 582, 589, 590, 591, 592, 593, 594, 595, 608, 609, 610, 611, 612, 613, 614, 615, 616, 665, 666, 667, 668, 669, 670, 671, 672, 673, 674, 688, 689, 690, 691, 692, 693, 694, 695, 696, 729, 730, 731, 732, 733, 734, 735, 736, 744, 745, 746, 747, 748, 749, 750, 751, 762, 763, 764, 765, 766, 767]"
3,47.35200868134325,78.77195434201718,44.82292856003014,1654310.0138498682,2995168.299093581,3840635.434148828,"[405, 406, 407, 408, 409, 410, 420, 421, 422, 423, 424, 436, 437, 438, 439, 440, 441, 442, 448, 449, 450, 451, 452, 453, 466, 467, 468, 469, 470, 471, 491, 492, 493, 494, 495, 496, 497, 507, 508, 509, 510, 511, 512, 513, 514, 550, 551, 552, 553, 554, 555, 556, 573, 574, 575, 576, 577, 578, 579, 580, 581, 582, 589, 590, 591, 592, 593, 594, 595, 608, 609, 610, 611, 612, 613, 614, 615, 616, 665, 666, 667, 668, 669, 670, 671, 672, 673, 674, 688, 689, 690, 691, 692, 693, 694, 695, 696, 729, 730, 731, 732, 733, 734, 735, 736, 744, 745, 746, 747, 748, 749, 750, 751, 762, 763, 764, 765, 766, 767]"
1,83.59317831079214,78.30928832085463,13.374938270631413,1654319.0081550933,2995153.08122917,3840624.6552537843,"[405, 406, 407, 408, 409, 410, 420, 421, 422, 423, 424, 436, 437, 438, 439, 440, 441, 442, 448, 449, 450, 451, 452, 453, 466, 467, 468, 469, 470, 471, 491, 492, 493, 494, 495, 496, 497, 507, 508, 509, 510, 511, 512, 513, 514, 550, 551, 552, 553, 554, 555, 556, 573, 574, 575, 576, 577, 578, 579, 580, 581, 582, 589, 590, 591, 592, 593, 594, 595, 608, 609, 610, 611, 612, 613, 614, 615, 616, 665, 666, 667, 668, 669, 670, 671, 672, 673, 674, 688, 689, 690, 691, 692, 693, 694, 695, 696, 729, 730, 731, 732, 733, 734, 735, 736, 744, 745, 746, 747, 748, 749, 750, 751, 762, 763, 764, 765, 766, 767]"
2,55.11707022346577,75.20912215197322,38.77728931123431,1654312.1643925752,2995172.0764468163,3840632.0083449897,"[405, 406, 407, 408, 409, 410, 420, 421, 422, 423, 424, 436, 437, 438, 439, 440, 441, 442, 448, 449, 450, 451, 452, 453, 466, 467, 468, 469, 470, 471, 491, 492, 493, 494, 495, 496, 497, 507, 508, 509, 510, 511, 512, 513, 514, 550, 551, 552, 553, 554, 555, 556, 573, 574, 575, 576, 577, 578, 579, 580, 581, 582, 589, 590, 591, 592, 593, 594, 595, 608, 609, 610, 611, 612, 613, 614, 615, 616, 665, 666, 667, 668, 669, 670, 671, 672, 673, 674, 688, 689, 690, 691, 692, 693, 694, 695, 696, 729, 730, 731, 732, 733, 734, 735, 736, 744, 745, 746, 747, 748, 749, 750, 751, 762, 763, 764, 765, 766, 767]"
3,74.84494244902692,53.840636064969175,40.19246374764652,1654314.5500170605,2995180.5778141026,3840635.997375998,"[405, 406, 407, 408, 409, 410, 420, 421, 422, 423, 424, 436, 437, 438, 439, 440, 441, 442, 448, 449, 450, 451, 452, 453, 466, 467, 468, 469, 470, 471, 491, 492, 493, 494, 495, 496, 497, 507, 508, 509, 510, 511, 512, 513, 514, 550, 551, 552, 553, 554, 555, 556, 573, 574, 575, 576, 577, 578, 579, 580, 581, 582, 589, 590, 591, 592, 593, 594, 595, 608, 609, 610, 611, 612, 613, 614, 615, 616, 665, 666, 667, 668, 669, 670, 671, 672, 673, 674, 688, 689, 690, 691, 692, 693, 694, 695, 696, 729, 730, 731, 732, 733, 734, 735, 736, 744, 745, 746, 747, 748, 749, 750, 751, 762, 763, 764, 765, 766, 767]"
