rank,angle_axis0,angle_axis1,angle_axis2,eigenval0,eigenval1,eigenval2,tm_resids
1,23.356469590733777,75.9548897792104,71.73025662621735,91761.68958810464,250141.32170886514,299907.78767558397,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70]"
2,29.928962696798884,86.21988146835088,60.359860004126546,91760.15412477271,250136.2546885122,299900.8869307755,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70]"
3,29.904861726362324,85.6676948405416,60.47487574537469,91760.72997835359,250137.39676200395,299902.139802613,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70]"
1,23.356469590733777,75.9548897792104,71.73025662621735,91761.68958810464,250141.32170886514,299907.78767558397,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70]"
2,29.928962696798884,86.21988146835088,60.359860004126546,91760.15412477271,250136.2546885122,299900.8869307755,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70]"
3,29.904861726362324,85.6676948405416,60.47487574537469,91760.72997835359,250137.39676200395,299902.139802613,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70]"
