rank,angle_axis0,angle_axis1,angle_axis2,eigenval0,eigenval1,eigenval2,tm_resids
1,39.77110020396635,72.37450436261399,55.70008982302816,27938.58526888655,190094.88155912887,192928.3485371266,"[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]"
2,30.522993175820567,88.55877097833317,59.51844622261332,27936.70034965555,190093.7096832167,192927.56938620104,"[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]"
3,24.440788665522238,71.7183605112736,74.34775290755684,27936.89016531895,190093.7459634027,192925.82313836057,"[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]"
